expression,reading,meaning,tags
決まり,きまり,"settlement, conclusion, rule",JLPT JLPT_2 JLPT_3
気味,きみ,"-like, -looking, -looked",JLPT JLPT_2 JLPT_3
奇妙,きみょう,"strange, queer, curious",JLPT JLPT_2 JLPT_3
義務,ぎむ,"duty, obligation, responsibility",JLPT JLPT_2 JLPT_3
疑問,ぎもん,"question, problem, doubt",JLPT JLPT_2 JLPT_3
逆,ぎゃく,"reverse, opposite",JLPT JLPT_2 JLPT_3
キャプテン,キャプテン,captain,JLPT JLPT_2 JLPT_3
キャンプ,キャンプ,camp,JLPT Genki_Ln.11 JLPT_3 JLPT_2 Genki
旧,きゅう,ex-,JLPT JLPT_2 JLPT_3
級,きゅう,"class, grade, rank",JLPT JLPT_2 JLPT_3
球,きゅう,"globe, sphere, ball",JLPT JLPT_2 JLPT_3
休暇,きゅうか,"vacation, holiday, day off",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1
休憩,きゅうけい,"rest, break, intermission",JLPT JLPT_2 JLPT_3
急激,きゅうげき,"sudden, precipitous, radical",JLPT JLPT_2 JLPT_3
吸収,きゅうしゅう,"absorption, suction",JLPT JLPT_2 JLPT_3
救助,きゅうじょ,"relief, aid, rescue",JLPT JLPT_2 JLPT_3
急速,きゅうそく,"rapid (e.g., progress)",JLPT JLPT_2 JLPT_3
休息,きゅうそく,"rest, relief, relaxation",JLPT JLPT_2 JLPT_3
急に,きゅうに,suddenly,JLPT JLPT_2 JLPT_3
給料,きゅうりょう,"salary, wages",Genki_Ln.17 JLPT JLPT_3 JLPT_2 Genki
器用,きよう,"skillful, handy",JLPT JLPT_2 JLPT_3
教科書,きょうかしょ,textbook,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Genki_Ln.6 Intermediate_Japanese_Ln.13 Genki
競技,きょうぎ,"game, match, contest",JLPT JLPT_2 JLPT_3
行儀,ぎょうぎ,manners,JLPT JLPT_2 JLPT_3
供給,きょうきゅう,"supply, provision",JLPT JLPT_2 JLPT_3
教授,きょうじゅ,"teaching, instruction; professor",JLPT JLPT_2 JLPT_3
強調,きょうちょう,"emphasis, stress, stressed point",JLPT JLPT_2 JLPT_3
共通,きょうつう,"commonness, mutual",JLPT JLPT_2 JLPT_3
共同,きょうどう,"cooperation, association, collaboration",JLPT JLPT_2 JLPT_3
恐怖,きょうふ,"fear, terror",JLPT JLPT_2 JLPT_3
協力,きょうりょく,"cooperation, collaboration",JLPT JLPT_2 JLPT_3
強力,きょうりょく,"powerful, strong",JLPT JLPT_2 JLPT_3
許可,きょか,"permission, approval",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4
局,きょく,"office, bureau, station(TV, radio)",JLPT JLPT_2 JLPT_3
巨大,きょだい,"huge, gigantic, enormous",JLPT JLPT_2 JLPT_3
嫌う,きらう,"to hate, to dislike, to loathe",JLPT JLPT_2 JLPT_3
霧,きり,"fog, mist",JLPT JLPT_2 JLPT_3
切れ,きれ,"cloth, piece, cut",JLPT JLPT_2 JLPT_3
切れる,きれる,"to cut well, to be sharp; to break (off)",JLPT JLPT_2 JLPT_3
記録,きろく,"record, minutes, document",JLPT JLPT_2 JLPT_3
議論,ぎろん,"argument, discussion, dispute",JLPT JLPT_2 JLPT_3
金,きん,"gold, metal; money",JLPT JLPT_2 JLPT_3
銀,ぎん,silver,JLPT JLPT_2 JLPT_3
禁煙,きんえん,No Smoking,JLPT JLPT_2 JLPT_3
金額,きんがく,amount of money,JLPT JLPT_2 JLPT_3
金庫,きんこ,"safe, vault",JLPT JLPT_2 JLPT_3
禁止,きんし,"prohibition, ban",JLPT JLPT_2 JLPT_3
金銭,きんせん,"money, cash",JLPT JLPT_2 JLPT_3
金属,きんぞく,metal,JLPT JLPT_2 JLPT_3
近代,きんだい,modern times,JLPT JLPT_2 JLPT_3
緊張,きんちょう,"tension, mental strain, nervousness",JLPT JLPT_2 JLPT_3
筋肉,きんにく,"muscle, sinews",JLPT JLPT_2 JLPT_3
金融,きんゆう,"finance, money and banking",JLPT JLPT_2 JLPT_3
句,く,phrase,JLPT JLPT_2 JLPT_3
食う,くう,(male) (vulg.) to eat,JLPT JLPT_2 JLPT_3
偶然,ぐうぜん,"(by) chance, unexpectedly",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4
臭い,くさい,"stinky, smelly, bad-smelling",JLPT JLPT_2 JLPT_3
鎖,くさり,chain,JLPT JLPT_2 JLPT_3
腐る,くさる,"to rot, to go bad",JLPT JLPT_2 JLPT_3
癖,くせ,"a habit (often a bad habit), peculiarity",JLPT JLPT_2 JLPT_3
管,くだ,"pipe, tube",JLPT JLPT_2 JLPT_3
具体,ぐたい,"concrete, tangible, material",JLPT JLPT_2 JLPT_3
下り,くだり,down-train (going away from Tokyo),JLPT JLPT_2 JLPT_3
下る,くだる,"to get down, to descend",JLPT JLPT_2 JLPT_3
苦痛,くつう,"pain, agony",JLPT JLPT_2 JLPT_3
ぐっすり,ぐっすり,"sound asleep, fast asleep",JLPT JLPT_2 JLPT_3
区別,くべつ,"distinction, differentiation, classification",JLPT JLPT_2 JLPT_3
組,くみ,"class, team, set",JLPT JLPT_2 JLPT_3
組合,くみあい,"association, union",JLPT JLPT_2 JLPT_3
組む,くむ,to put together,JLPT JLPT_2 JLPT_3
汲む,くむ,"to draw, to scoop, to pump",JLPT JLPT_2 JLPT_3
酌む,くむ,to serve sake,JLPT JLPT_2 JLPT_3
悔しい,くやしい,"regrettable, mortifying, vexing",JLPT JLPT_2 JLPT_3
位,くらい,"grade, rank, about",JLPT JLPT_2 JLPT_3
暮らし,くらし,living; life style,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13
クラシック,クラシック,classic(s),JLPT JLPT_2 JLPT_3
暮らす,くらす,"to live, to get along",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11
グラス,グラス,glass; grass,JLPT JLPT_2 JLPT_3
グランド,グランド,"gland, grand, (electrical) ground",JLPT JLPT_2 JLPT_3
クリーム,クリーム,cream,JLPT JLPT_2 JLPT_3
繰り返す,くりかえす,"to repeat, to do something over again",JLPT JLPT_2 JLPT_3
クリスマス,クリスマス,Christmas,JLPT Genki_Ln.14 JLPT_3 JLPT_2 Genki
狂う,くるう,"to go mad, to get out of order",JLPT JLPT_2 JLPT_3
グループ,グループ,group,JLPT JLPT_2 JLPT_3
苦しい,くるしい,tough; physically strenuous,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15
苦しむ,くるしむ,"to suffer, to groan, to be worried",JLPT JLPT_2 JLPT_3
暮れ,くれ,"year end,",JLPT JLPT_2 JLPT_3
苦労,くろう,hardship; suffering,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
加える,くわえる,"to append, to sum up, to add (up)",JLPT JLPT_2 JLPT_3
咥える,くわえる,to hold something in the mouth,JLPT JLPT_2 JLPT_3
詳しい,くわしい,detailed; full; accurate,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8
加わる,くわわる,"to join in, to accede to",JLPT JLPT_2 JLPT_3
訓,くん,native Japanese reading of a Chinese character,JLPT JLPT_2 JLPT_3
軍,ぐん,"army, force, troops",JLPT JLPT_2 JLPT_3
郡,ぐん,"country, district",JLPT JLPT_2 JLPT_3
軍隊,ぐんたい,"army, troops",JLPT JLPT_2 JLPT_3
訓練,くんれん,"practice, training",JLPT JLPT_2 JLPT_3
下,げ,"under, below, beneath",JLPT JLPT_2 JLPT_3
計,けい,"plan; sum, total",JLPT JLPT_2 JLPT_3
敬意,けいい,"respect, honor",JLPT JLPT_2 JLPT_3
経営,けいえい,"management, administration",JLPT JLPT_2 JLPT_3
景気,けいき,"condition, state, business (condition)",JLPT JLPT_2 JLPT_3
傾向,けいこう,"tendency, trend, inclination",JLPT JLPT_2 JLPT_3
警告,けいこく,warning,JLPT JLPT_2 JLPT_3
計算,けいさん,"calculation, reckoning",JLPT JLPT_2 JLPT_3
掲示,けいじ,"notice, bulletin",JLPT JLPT_2 JLPT_3
刑事,けいじ,"criminal case, (police) detective",JLPT JLPT_2 JLPT_3
芸術,げいじゅつ,"(fine) art, the arts",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10
契約,けいやく,"contract, compact, agreement",JLPT JLPT_2 JLPT_3
経由,けいゆ,"go by the way, via",JLPT JLPT_2 JLPT_3
ケース,ケース,case,JLPT_1 JLPT JLPT_2 JLPT_3
ゲーム,ゲーム,game,JLPT JLPT_2 JLPT_3
劇,げき,"drama, play",JLPT JLPT_2 JLPT_3
劇場,げきじょう,"theater, playhouse",JLPT JLPT_2 JLPT_3
化粧,けしょう,make-up (cosmetic),JLPT JLPT_2 JLPT_3
けち,けち,"stinginess, miser",JLPT JLPT_2 JLPT_3
血液,けつえき,blood,JLPT JLPT_2 JLPT_3
結果,けっか,"result, consequence",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5
欠陥,けっかん,"defect, fault, deficiency",JLPT JLPT_2 JLPT_3
結局,けっきょく,"after all, eventually",JLPT JLPT_2 JLPT_3
決心,けっしん,"determination, resolution",JLPT JLPT_2 JLPT_3
欠席,けっせき,"absence, non-attendance",JLPT JLPT_2 JLPT_3
決定,けってい,"decision, determination",JLPT JLPT_2 JLPT_3
欠点,けってん,"faults, defect, weakness",JLPT JLPT_2 JLPT_3
結論,けつろん,conclusion,JLPT JLPT_2 JLPT_3
煙,けむり,"smoke, fumes",JLPT JLPT_2 JLPT_3
蹴る,ける,to kick,JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21
券,けん,"ticket, certificate",JLPT JLPT_2 JLPT_3
県,けん,prefecture,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7
見解,けんかい,"opinion, point of view",JLPT JLPT_2 JLPT_3
限界,げんかい,"limit, bound",JLPT JLPT_2 JLPT_3
現金,げんきん,cash,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9
言語,げんご,language,JLPT JLPT_2 JLPT_3
健康,けんこう,health(y),JLPT JLPT_2 JLPT_3
検査,けんさ,"inspection, examination",JLPT JLPT_2 JLPT_3
現在,げんざい,"now (same as 今 (いま)), present, current",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
現実,げんじつ,reality,JLPT JLPT_2 JLPT_3
現象,げんしょう,phenomenon,JLPT JLPT_2 JLPT_3
現状,げんじょう,"present condition, status quo",JLPT JLPT_2 JLPT_3
建設,けんせつ,"construction, foundation",JLPT JLPT_2 JLPT_3
現代,げんだい,"today, present-day",JLPT JLPT_2 JLPT_3
建築,けんちく,"construction, architecture",JLPT JLPT_2 JLPT_3
見当,けんとう,"estimate, guess",JLPT JLPT_2 JLPT_3
検討,けんとう,"consideration, examination, investigation",JLPT JLPT_2 JLPT_3
現場,げんば,"actual spot, scene, field",JLPT JLPT_2 JLPT_3
憲法,けんぽう,constitution,JLPT JLPT_2 JLPT_3
権利,けんり,"right, privilege",JLPT JLPT_2 JLPT_3
後,ご,"afterwards, since then",JLPT JLPT_2 JLPT_3
碁,ご,Go (board game of capturing territory),JLPT JLPT_2 JLPT_3
恋,こい,"love, tender passion",JLPT JLPT_2 JLPT_3
濃い,こい,"thick (as of color, liquid), dense, strong",JLPT JLPT_2 JLPT_3
恋人,こいびと,lover; sweetheart; girlfriend,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9
幸運,こううん,"good luck, fortune",JLPT JLPT_2 JLPT_3
講演,こうえん,"lecture, talk",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15
効果,こうか,"effect, result",JLPT JLPT_2 JLPT_3
硬貨,こうか,coin,JLPT JLPT_2 JLPT_3
高価,こうか,high price,JLPT JLPT_2 JLPT_3
豪華,ごうか,"luxurious, gorgeous, extravagance",JLPT JLPT_2 JLPT_3
合格,ごうかく,"success, passing (e.g., exam)",JLPT JLPT_2 JLPT_3
交換,こうかん,"exchange, swap",JLPT JLPT_2 JLPT_3
航空,こうくう,"aviation, flying",JLPT JLPT_2 JLPT_3
光景,こうけい,"scene, spectacle",JLPT JLPT_2 JLPT_3
合計,ごうけい,"sum total, total amount",JLPT JLPT_2 JLPT_3
攻撃,こうげき,"attack, strike, offensive",JLPT JLPT_2 JLPT_3
貢献,こうけん,"contribution, services",JLPT JLPT_2 JLPT_3
広告,こうこく,advertisement,JLPT Genki_Ln.13 Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15 Genki
交際,こうさい,"friendship, association, acquaintance",JLPT JLPT_2 JLPT_3
校舎,こうしゃ,school building,JLPT JLPT_2 JLPT_3
後者,こうしゃ,the latter,JLPT JLPT_2 JLPT_3
工場,こうば,"factory, plant",JLPT JLPT_2 JLPT_3
公正,こうせい,"justice, fairness, impartiality",JLPT JLPT_2 JLPT_3
構成,こうせい,"organization, composition",JLPT JLPT_2 JLPT_3
高速,こうそく,"high speed, high gear",JLPT JLPT_2 JLPT_3
行動,こうどう,"action, conduct, behavior",JLPT JLPT_2 JLPT_3
強盗,ごうとう,"robbery, burglary",JLPT JLPT_2 JLPT_3
後輩,こうはい,junior members of a group,JLPT JLPT_3 JLPT_2 Genki_Ln.22 Genki
幸福,こうふく,"happiness, blessedness",JLPT JLPT_2 JLPT_3
公平,こうへい,"fairness, impartial, justice",JLPT JLPT_2 JLPT_3
候補,こうほ,candidacy,JLPT JLPT_2 JLPT_3
考慮,こうりょ,"consideration, taking into account",JLPT JLPT_2 JLPT_3
越える,こえる,"to exceed, to cross over, to cross",JLPT JLPT_2 JLPT_3
超える,こえる,"to exceed, to cross over, to cross",JLPT JLPT_2 JLPT_3
コーチ,コーチ,coach,JLPT JLPT_2 JLPT_3
コード,コード,code; cord; chord,JLPT JLPT_2 JLPT_3
氷,こおり,"ice, hail",JLPT JLPT_2 JLPT_3
凍る,こおる,"to freeze, to be frozen over, to congeal",JLPT JLPT_2 JLPT_3
ゴール,ゴール,goal,JLPT JLPT_2 JLPT_3
誤解,ごかい,misunderstanding,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15
語学,ごがく,language study,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8
呼吸,こきゅう,"breath, respiration",JLPT JLPT_2 JLPT_3
故郷,こきょう,hometown,JLPT JLPT_2 JLPT_3
極,ごく,"quite, very",JLPT JLPT_2 JLPT_3
国語,こくご,national language,JLPT JLPT_2 JLPT_3
国籍,こくせき,nationality,JLPT JLPT_2 JLPT_3
黒板,こくばん,blackboard,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13
克服,こくふく,"conquest, overcome",JLPT JLPT_2 JLPT_3
国民,こくみん,"national, people, citizen",JLPT JLPT_2 JLPT_3
穀物,こくもつ,"grain, cereal, corn",JLPT JLPT_2 JLPT_3
腰,こし,"hip, waist",JLPT JLPT_2 JLPT_3
胡椒,こしょう,pepper,JLPT JLPT_2 JLPT_3
個人,こじん,"individual, private person",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14
越す,こす,"to go over (e.g., with audience)",JLPT JLPT_2 JLPT_3
超す,こす,"to cross, to pass, to tide over",JLPT JLPT_2 JLPT_3
国家,こっか,"state, country, nation",JLPT JLPT_2 JLPT_3
国会,こっかい,"National Diet, parliament, congress",JLPT JLPT_2 JLPT_3
国境,こっきょう,national or state border,JLPT JLPT_2 JLPT_3
骨折,こっせつ,bone fracture,JLPT JLPT_2 JLPT_3
小包,こづつみ,"parcel, package",JLPT JLPT_2 JLPT_3
琴,こと,Japanese harp,JLPT JLPT_2 JLPT_3
異なる,ことなる,"to differ, to vary",JLPT JLPT_2 JLPT_3
諺,ことわざ,"proverb, saying",JLPT JLPT_2 JLPT_3
断る,ことわる,"to refuse, to decline, to dismiss",JLPT JLPT_2 JLPT_3
粉,こな,"flour, powder",JLPT JLPT_2 JLPT_3
好み,このみ,"liking, taste, choice",JLPT JLPT_2 JLPT_3
好む,このむ,"to like, to prefer",JLPT JLPT_2 JLPT_3
こぼす,こぼす,to spill,JLPT JLPT_2 JLPT_3
こぼれる,こぼれる,"to overflow, to spill",JLPT JLPT_2 JLPT_3
塵,ごみ,"garbage, litter",JLPT JLPT_2 JLPT_3
小麦,こむぎ,wheat,JLPT JLPT_2 JLPT_3
ごめんなさい,ごめんなさい,"I beg your pardon, excuse me, I'm sorry",JLPT JLPT_3 JLPT_2 Genki_Ln.4 Genki
小屋,こや,"hut, cabin, shed",JLPT JLPT_2 JLPT_3
これら,これら,these,JLPT JLPT_2 JLPT_3
殺す,ころす,to kill,JLPT JLPT_2 JLPT_3
転ぶ,ころぶ,"to fall down, to fall over",JLPT Genki_Ln.18 JLPT_3 JLPT_2 Genki
今回,こんかい,"now, this time, lately",JLPT JLPT_2 JLPT_3
今後,こんご,"from now on, hereafter",JLPT JLPT_2 JLPT_3
混雑,こんざつ,"confusion, congestion",JLPT JLPT_2 JLPT_3
こんなに,こんなに,"so, like this, in this way",JLPT JLPT_2 JLPT_3
困難,こんなん,"difficulty, distress",JLPT JLPT_2 JLPT_3
今日,こんにち,"today, this day",JLPT JLPT_2 JLPT_3
こんにちは,こんにちは,"hello, good day (daytime greeting)",JLPT JLPT_2 JLPT_3
婚約,こんやく,"engagement, betrothal",JLPT JLPT_2 JLPT_3
混乱,こんらん,"chaos, confusion, mayhem",JLPT JLPT_2 JLPT_3
差,さ,"difference, variation",JLPT JLPT_2 JLPT_3
サービス,サービス,"service, support system; goods or services without charge",JLPT JLPT_2 JLPT_3
際,さい,"on the occasion of, circumstances",JLPT JLPT_2 JLPT_3
最高,さいこう,"highest, supreme, the most",JLPT JLPT_2 JLPT_3
財産,ざいさん,"property, fortune, assets",JLPT JLPT_2 JLPT_3
最終,さいしゅう,"last, closing",JLPT JLPT_2 JLPT_3
最中,さいちゅう,in the middle of,JLPT JLPT_2 JLPT_3
最低,さいてい,"least, lowest, worst",Genki_Ln.17 JLPT JLPT_3 JLPT_2 Genki
才能,さいのう,"talent, ability",JLPT JLPT_2 JLPT_3
裁判,さいばん,"trial, judgment",JLPT JLPT_2 JLPT_3
材料,ざいりょう,"ingredients, material",JLPT JLPT_2 JLPT_3
幸い,さいわい,fortunately; luckily,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8
サイン,サイン,autograph; sign; sine,JLPT JLPT_2 JLPT_3
境,さかい,"border, boundary, mental state",JLPT JLPT_2 JLPT_3
逆らう,さからう,"to go against, to oppose, to disobey",JLPT JLPT_2 JLPT_3
盛り,さかり,"helping, serving",JLPT JLPT_2 JLPT_3
作業,さぎょう,"work, operation, manufacturing",JLPT JLPT_2 JLPT_3
裂く,さく,"to tear, to split",JLPT JLPT_2 JLPT_3
昨,さく,"last (year), yesterday",JLPT JLPT_2 JLPT_3
作品,さくひん,"work, opus, production",JLPT JLPT_2 JLPT_3
作物,さくもつ,"produce (e.g., agricultural), crops",JLPT JLPT_2 JLPT_3
桜,さくら,"cherry blossom, cherry tree",JLPT JLPT_2 JLPT_3
酒,さけ,"alcohol, sake",JLPT JLPT_2 JLPT_3
叫ぶ,さけぶ,"to shout, to cry",JLPT JLPT_2 JLPT_3
避ける,さける,"to avoid (physical contact); to ward off, to avert",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15
支える,ささえる,"support, hold, sustain",JLPT JLPT_2 JLPT_3
刺さる,ささる,"to stick, to be stuck",JLPT JLPT_2 JLPT_3
刺す,さす,"to sting, to bite (e.g., bug), to prick, to stab",JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21
指す,さす,"to point,",JLPT JLPT_2 JLPT_3
挿す,さす,"to insert, to put in, to graft",JLPT JLPT_2 JLPT_3
注す,さす,"to pour (drink), to serve (drinks)",JLPT JLPT_2 JLPT_3
射す,さす,"to shine, to strike",JLPT JLPT_2 JLPT_3
座席,ざせき,seat,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10
誘う,さそう,"to invite (someone to do something with you); to tempt, to lure",Genki_Ln.15 Intermediate_Japanese JLPT JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7 Genki
札,さつ,"bill, note",JLPT JLPT_2 JLPT_3
作家,さっか,"author, writer, novelist",JLPT JLPT_2 JLPT_3
作曲,さっきょく,composition (of music),JLPT JLPT_2 JLPT_3
ざっと,ざっと,"roughly, in round numbers",JLPT JLPT_2 JLPT_3
さっぱり,さっぱり,"feeling refreshed, neat",JLPT JLPT_2 JLPT_3
さて,さて,"well; now (typically used when switching to a new, usually more important topic)",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
砂漠,さばく,desert,JLPT JLPT_2 JLPT_3
差別,さべつ,"discrimination, differentiation",JLPT JLPT_2 JLPT_3
ママ,ママ,Mama,JLPT JLPT_2 JLPT_3
豆,まめ,"beans, peas",JLPT JLPT_2 JLPT_3
守る,まもる,to protect; to abide (by the rules),JLPT JLPT_2 JLPT_3
迷う,まよう,"to be puzzled, to be perplexed, to lose one's way",JLPT JLPT_2 JLPT_3
丸,まる,"circle, full (month)",JLPT JLPT_2 JLPT_3
円,まる,circle,JLPT JLPT_2 JLPT_3
まるで,まるで,just like,JLPT JLPT_2 JLPT_3
万一,まんいち,"by some chance, if by any chance",JLPT JLPT_2 JLPT_3
満足,まんぞく,satisfaction,JLPT JLPT_2 JLPT_3
身,み,"body, main part",JLPT JLPT_2 JLPT_3
実,み,"fruit, seed, good result",JLPT JLPT_2 JLPT_3
見送り,みおくり,seeing one off,JLPT JLPT_2 JLPT_3
味方,みかた,"ally, supporter",JLPT JLPT_2 JLPT_3
見事,みごと,"splendid, magnificent",JLPT JLPT_2 JLPT_3
ミス,ミス,"miss (mistake, error, failure), Miss",JLPT_1 JLPT JLPT_2 JLPT_3
満ちる,みちる,"to be full, to mature",JLPT JLPT_2 JLPT_3
密,みつ,"thick, close",JLPT JLPT_2 JLPT_3
認める,みとめる,"to recognize, to notice; to approve",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13 Intermediate_Japanese_Ln.3
見舞い,みまい,"expression of sympathy, expression of concern",JLPT JLPT_2 JLPT_3
土産,みやげ,souvenir,JLPT JLPT_2 JLPT_3
都,みやこ,city; capital,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10
妙,みょう,"strange, unusual",JLPT JLPT_2 JLPT_3
明後日,みょうごにち,day after tomorrow,JLPT JLPT_2 JLPT_3
未来,みらい,future (life tense),JLPT JLPT_2 JLPT_3
魅力,みりょく,"charm, fascination, appeal",JLPT JLPT_2 JLPT_3
診る,みる,to examine (a patient),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12
ミルク,ミルク,milk,JLPT JLPT_2 JLPT_3
無,む,"nothing, naught, zero",JLPT JLPT_2 JLPT_3
向かい,むかい,"facing, opposite, across",JLPT JLPT_2 JLPT_3
迎え,むかえ,"meeting, person sent to pick up an arrival",JLPT JLPT_2 JLPT_3
向く,むく,to face,JLPT JLPT_2 JLPT_3
剥く,むく,"to peel, to skin",JLPT JLPT_2 JLPT_3
向ける,むける,"to turn towards, to point",JLPT JLPT_2 JLPT_3
無視,むし,"disregard, ignore",JLPT JLPT_2 JLPT_3
蒸し暑い,むしあつい,"humid, sultry",JLPT JLPT_2 JLPT_3
虫歯,むしば,"cavity, tooth decay",JLPT JLPT_2 JLPT_3
寧ろ,むしろ,"rather, better, instead",JLPT JLPT_2 JLPT_3
蒸す,むす,"to steam, to poultice, to be sultry",JLPT JLPT_2 JLPT_3
結ぶ,むすぶ,"to tie, to bind, to link",JLPT JLPT_2 JLPT_3
無駄,むだ,"futility, uselessness",JLPT JLPT_2 JLPT_3
夢中,むちゅう,"crush, crazy, be hooked on",JLPT JLPT_2 JLPT_3
胸,むね,"breast, chest",JLPT JLPT_2 JLPT_3
無料,むりょう,"free, no charge",JLPT JLPT_2 JLPT_3
芽,め,sprout,JLPT JLPT_2 JLPT_3
明確,めいかく,"clear, definite",JLPT JLPT_2 JLPT_3
名刺,めいし,(name) card; business card,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1
名詞,めいし,noun,JLPT JLPT_2 JLPT_3
命じる,めいじる,"to order, to command, to appoint",JLPT JLPT_2 JLPT_3
名人,めいじん,"master, expert",JLPT JLPT_2 JLPT_3
命令,めいれい,"order, command, decree",JLPT JLPT_2 JLPT_3
迷惑,めいわく,"trouble, bother, annoyance",JLPT JLPT_2 JLPT_3
目上,めうえ,person of higher status; one's senior,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.2
飯,めし,"meals, food",JLPT JLPT_2 JLPT_3
滅多に,めったに,"rarely (with neg. verb), seldom",JLPT JLPT_2 JLPT_3
メモ,メモ,"memorandum, note",JLPT JLPT_2 JLPT_3
面,めん,"face, mug, surface, side or facet, corner, page",JLPT JLPT_2 JLPT_3
綿,めん,cotton,JLPT JLPT_2 JLPT_3
免許,めんきょ,"license, permit, certificate",JLPT JLPT_3 JLPT_2 Genki_Ln.22 Genki
面接,めんせつ,interview,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Genki Genki_Ln.23 Intermediate_Japanese_Ln.3
面倒,めんどう,"trouble, attention",JLPT JLPT_2 JLPT_3
メンバー,メンバー,member,JLPT JLPT_2 JLPT_3
申し込む,もうしこむ,"to apply for, to make an application",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3
申し訳,もうしわけ,"apology, excuse",JLPT JLPT_2 JLPT_3
毛布,もうふ,blanket,JLPT JLPT_2 JLPT_3
燃える,もえる,to burn,JLPT JLPT_2 JLPT_3
目的,もくてき,"purpose, goal, aim",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3
目標,もくひょう,"mark, objective, target",JLPT JLPT_2 JLPT_3
文字,もじ,"letter (of alphabet), character",JLPT JLPT_2 JLPT_3
文字,もんじ,"letter (of alphabet), character",JLPT JLPT_2 JLPT_3
もしかすると,もしかすると,"perhaps, maybe, by some chance",JLPT JLPT_2 JLPT_3
もしも,もしも,if,JLPT JLPT_2 JLPT_3
持ち上げる,もちあげる,"to raise, to lift up, to flatter",JLPT JLPT_2 JLPT_3
用いる,もちいる,"to use, to make use of",JLPT JLPT_2 JLPT_3
もったいない,もったいない,"wasteful; more than one deserves, unworthy of",JLPT JLPT_2 JLPT_3
尤も,もっとも,"quite right, plausible, natural",JLPT JLPT_2 JLPT_3
元,もと,"origin, original; former",JLPT JLPT_2 JLPT_3
基,もと,basis,JLPT JLPT_2 JLPT_3
素,もと,prime,JLPT JLPT_2 JLPT_3
戻す,もどす,"to restore, to put back, to return",JLPT JLPT_2 JLPT_3
基づく,もとづく,"to be grounded on, to be based on",JLPT JLPT_2 JLPT_3
求める,もとめる,"to request, to ask for; to seek, to search for",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4
者,もの,person (same as 人 (ひと)),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3
物音,ものおと,sounds,JLPT JLPT_2 JLPT_3
物語,ものがたり,"tale, story, legend",JLPT JLPT_2 JLPT_3
物事,ものごと,"things, everything",JLPT JLPT_2 JLPT_3
燃やす,もやす,to burn,JLPT JLPT_2 JLPT_3
