expression,reading,meaning,tags
あふれる,あふれる,"to flood, to overflow",JLPT JLPT_2
雨戸,あまど,sliding storm door,JLPT JLPT_2
甘やかす,あまやかす,"to pamper, to spoil",JLPT JLPT_2
余る,あまる,"to be left over, to be in excess",JLPT JLPT_2
編み物,あみもの,knitting,JLPT JLPT_2
編む,あむ,to knit,Genki Genki_Ln.13 JLPT JLPT_2
危うい,あやうい,"dangerous, critical",JLPT JLPT_2
怪しい,あやしい,"suspicious, dubious, doubtful",JLPT JLPT_2
荒い,あらい,"rough, rude, wild",JLPT JLPT_2
粗い,あらい,"coarse, rough",JLPT JLPT_2
粗筋,あらすじ,"outline, synopsis",JLPT JLPT_2
改めて,あらためて,"another time, again",JLPT JLPT_2
改める,あらためる,"to change, to reform, to revise",JLPT JLPT_2
有難い,ありがたい,"grateful, thankful, appreciated",JLPT JLPT_2
あれこれ,あれこれ,"one thing or another, this and that",JLPT JLPT_2
荒れる,あれる,"to be stormy, to be rough, to be ruined",JLPT JLPT_2
慌ただしい,あわただしい,"busy, hurried",JLPT JLPT_2
安易,あんい,easy-going,JLPT JLPT_2
アンテナ,アンテナ,antenna,JLPT JLPT_2
～位,～い,~th place,JLPT JLPT_2
言い出す,いいだす,"to start talking, to suggest",JLPT JLPT_2
言い付ける,いいつける,"to tell, to order",JLPT JLPT_2
意義,いぎ,"meaning, significance",JLPT JLPT_2
生き生き,いきいき,"vividly, lively",JLPT JLPT_2
いきなり,いきなり,all of a sudden,Intermediate_Japanese Intermediate_Japanese_Ln.13 JLPT JLPT_2
幾～,いく～,several ~,JLPT JLPT_2
育児,いくじ,"childcare, nursing",Intermediate_Japanese Intermediate_Japanese_Ln.14 JLPT JLPT_2
幾分,いくぶん,somewhat,JLPT JLPT_2
生け花,いけばな,flower arrangement,JLPT JLPT_2
以後,いご,after this; from now on; hereafter,JLPT JLPT_2 Intermediate_Japanese_Ln.8 Intermediate_Japanese
以降,いこう,"on and after, hereafter",JLPT JLPT_2
イコール,イコール,equal,JLPT JLPT_2
勇ましい,いさましい,"brave, valiant",JLPT JLPT_2
衣食住,いしょくじゅう,"food, clothing and shelter",JLPT JLPT_2
～いち (にほんいち),～いち (にほんいち),No. 1 ~ (in),JLPT JLPT_2
いちいち,いちいち,"one by one, separately",JLPT JLPT_2
一応,いちおう,"tentatively, for the time being",JLPT JLPT_2
一段と,いちだんと,"by far, greater",JLPT_2 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese
一流,いちりゅう,"first class, leading",JLPT JLPT_2
一昨日,いっさくじつ,day before yesterday,JLPT JLPT_2
一昨年,いっさくねん,year before last,JLPT JLPT_2
一斉,いっせい,"simultaneous, all at once",JLPT JLPT_2
一旦,いったん,"once, for a moment",JLPT JLPT_2
一定,いってい,"fixed, settled, regular",JLPT JLPT_2
行っていらっしゃい,いっていらっしゃい,"have a nice day, see you",JLPT JLPT_2
行ってらっしゃい,いってらっしゃい,"have a nice day, see you",JLPT JLPT_2
いってまいります,いってまいります,"(Lit.) I'll go and come back, 'I'm going, see you later'",JLPT JLPT_2
いってきます,いってきます,"(Lit.) I'll go and come back, 'I'm going, see you later'",JLPT JLPT_2
移転,いてん,"moving, transfer",JLPT JLPT_2
井戸,いど,water well,JLPT JLPT_2
緯度,いど,latitude (navigation),JLPT JLPT_2
威張る,いばる,"to be proud, to swagger",JLPT JLPT_2
嫌がる,いやがる,"reluctant, to dislike",JLPT JLPT_2
いよいよ,いよいよ,"more and more, increasingly, at last",JLPT JLPT_2
煎る,いる,to roast,JLPT JLPT_2
炒る,いる,"to parch, to roast",JLPT JLPT_2
入れ物,いれもの,"container, case",JLPT JLPT_2
インキ,インキ,ink,JLPT JLPT_2
引力,いんりょく,gravity,JLPT JLPT_2
ウーマン,ウーマン,woman,JLPT JLPT_2
ウール,ウール,wool,JLPT JLPT_2
ウエートレス,ウエートレス,waitress,JLPT JLPT_2
植木,うえき,"garden shrubs, trees, potted plant",JLPT JLPT_2
飢える,うえる,to starve,JLPT JLPT_2
浮ぶ,うかぶ,"to float, to rise to surface, to come to mind",JLPT JLPT_2
浮かべる,うかべる,to float; to express,JLPT JLPT_2
浮く,うく,to float,JLPT JLPT_2
承る,うけたまわる,"(humble) to hear, to be told, to know",JLPT JLPT_2
受取,うけとり,receipt,JLPT JLPT_2
受け持つ,うけもつ,to take (be in) charge of,JLPT JLPT_2
薄暗い,うすぐらい,"dim, gloomy",JLPT JLPT_2
薄める,うすめる,"to dilute, to water down",JLPT JLPT_2
打合せ,うちあわせ,"business meeting, previous arrangement",JLPT JLPT_2
打ち消す,うちけす,"to deny, to negate",JLPT JLPT_2
うどん,うどん,udon noodles (Japanese traditional noodles),Intermediate_Japanese_Ln.6 JLPT_2 JLPT Intermediate_Japanese
うなずく,うなずく,to nod,JLPT JLPT_2
敬う,うやまう,"to show respect, to honor",JLPT JLPT_2
裏返す,うらがえす,"to turn inside out, to turn (something) over",JLPT JLPT_2
裏口,うらぐち,"backdoor, rear entrance",JLPT JLPT_2
占う,うらなう,"to predict, to divine",JLPT JLPT_2
恨み,うらみ,resentment,JLPT JLPT_2
恨む,うらむ,"to curse, to feel bitter",JLPT JLPT_2
羨む,うらやむ,to envy,JLPT JLPT_2
売上,うりあげ,"amount sold, proceeds",JLPT JLPT_2
売り切れ,うりきれ,sold-out,JLPT JLPT_2
売り切れる,うりきれる,to be sold out,JLPT JLPT_2
売行き,うれゆき,sales,JLPT JLPT_2
うろうろ,うろうろ,"loitering, aimless wandering",JLPT JLPT_2
上～,うわ～,upper ~,JLPT JLPT_2
運河,うんが,"canal, waterway",JLPT JLPT_2
うんと,うんと,"a great deal, very much",JLPT JLPT_2
英文,えいぶん,sentence in English,JLPT JLPT_2
英和,えいわ,"English-Japanese (e.g., dictionary)",JLPT JLPT_2
ええと,ええと,"let me see, well, er...",JLPT JLPT_2
液体,えきたい,"liquid, fluid",JLPT JLPT_2
エチケット,エチケット,etiquette,JLPT JLPT_2
絵の具,えのぐ,"colors, paints",JLPT JLPT_2
エプロン,エプロン,apron,JLPT JLPT_2
偉い,えらい,"great, celebrated, remarkable,",JLPT JLPT_2
～園,～えん,~ garden (especially man made),JLPT JLPT_2
宴会,えんかい,"party, banquet",JLPT JLPT_2
園芸,えんげい,"horticulture, gardening",JLPT JLPT_2
演劇,えんげき,play (theatrical),JLPT JLPT_2
円周,えんしゅう,circumference,JLPT JLPT_2
遠足,えんそく,"trip, hike, picnic",JLPT JLPT_2
延長,えんちょう,"extension, prolongation",JLPT JLPT_2
煙突,えんとつ,chimney,JLPT JLPT_2
御～,おん～,honorific ~,JLPT JLPT_2
追いかける,おいかける,to chase or run after someone,JLPT JLPT_2
追い越す,おいこす,"to pass (e.g., car), to outdistance, to outstrip",JLPT JLPT_2
オイル,オイル,oil,JLPT JLPT_2
王女,おうじょ,princess,JLPT JLPT_2
応ずる,おうずる,"to respond, to comply with",JLPT JLPT_2
応接,おうせつ,reception,JLPT JLPT_2
応対,おうたい,"receiving, dealing with",JLPT JLPT_2
往復,おうふく,"(col) round trip, coming and going, return ticket",JLPT JLPT_2
欧米,おうべい,"Europe and America, the West",JLPT_2 JLPT Intermediate_Japanese_Ln.7 Intermediate_Japanese
応用,おうよう,"application, put to practical use",JLPT JLPT_2
電波,でんぱ,electro-magnetic wave,JLPT JLPT_2
テンポ,テンポ,tempo,JLPT JLPT_2
電流,でんりゅう,electric current,JLPT JLPT_2
電力,でんりょく,electric power,JLPT JLPT_2
問い合わせ,といあわせ,inquiry,JLPT JLPT_2
～頭,～とう,counter for animals,JLPT JLPT_2
～等,～とう,"level, place",JLPT JLPT_2
～島,～とう,kind of islands,JLPT JLPT_2
銅,どう,copper,JLPT JLPT_2
同～,どう～,same ~,JLPT JLPT_2
～道,～どう,"kind of path, road",JLPT JLPT_2
どういたしまして (かん),どういたしまして (かん),"you are welcome, don't mention it",JLPT JLPT_2
統一,とういつ,"unity, consolidation, uniformity",JLPT JLPT_2
同格,どうかく,"the same rank, equality, apposition",JLPT JLPT_2
峠,とうげ,"ridge, (mountain) pass, difficult part",JLPT JLPT_2
統計,とうけい,"scattering, a scatter, dispersion",JLPT JLPT_2
動作,どうさ,"action, movements, motions",JLPT JLPT_2
東西,とうざい,"East and West, whole country",JLPT JLPT_2
当日,とうじつ,"appointed day, very day",JLPT JLPT_2
投書,とうしょ,"letter to the editor, letter from a reader, contribution",JLPT_2 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese
登場,とうじょう,entry (on stage),JLPT JLPT_2
どうせ,どうせ,"anyhow, in any case, at any rate",JLPT JLPT_2
灯台,とうだい,lighthouse,JLPT JLPT_2
盗難,とうなん,"theft, robbery",JLPT JLPT_2
当番,とうばん,being on duty,JLPT JLPT_2
等分,とうぶん,division into equal parts,JLPT JLPT_2
透明,とうめい,"transparency, cleanness",JLPT JLPT_2
灯油,とうゆ,"lamp oil, kerosene",JLPT JLPT_2
童話,どうわ,fairy tale,JLPT JLPT_2
～通り,～とおり,"in accordance with ~; following ~; ~ street, ~ avenue",JLPT JLPT_2
通り掛かる,とおりかかる,to happen to pass by,JLPT JLPT_2
溶かす,とかす,"to melt, to dissolve",JLPT JLPT_2
尖る,とがる,"to taper to a point, to become sharp",JLPT JLPT_2
どきどき,どきどき,"throb, beat (fast)",JLPT JLPT_2
特殊,とくしゅ,"special, unique",JLPT JLPT_2
特色,とくしょく,"characteristic, feature",JLPT JLPT_2
特定,とくてい,"specific, special, particular",JLPT JLPT_2
特売,とくばい,special sale,JLPT JLPT_2
溶け込む,とけこむ,to melt into; to become a part of,JLPT JLPT_2 Intermediate_Japanese Intermediate_Japanese_Ln.11
退ける,どける,"to dislodge, to put something out of the way",JLPT JLPT_2
床の間,とこのま,alcove,JLPT JLPT_2
～ところ,～ところ,about to do ~,JLPT JLPT_2
所々,ところどころ,"here and there, some parts (of something)",JLPT JLPT_2
都心,としん,heart (of city),JLPT JLPT_2
戸棚,とだな,"cupboard, cabinet",JLPT JLPT_2
とっくに,とっくに,"long ago, already, a long time ago",JLPT JLPT_2
どっと,どっと,suddenly,JLPT JLPT_2
整う,ととのう,"to be prepared, to be in order, to be arranged",JLPT JLPT_2
留まる,とどまる,"to be fixed; to abide, to stay (in the one place)",JLPT JLPT_2
怒鳴る,どなる,"to shout, to yell",JLPT JLPT_2
殿,どの,Mister (mostly in addressing someone on an envelope),JLPT JLPT_2
飛び込む,とびこむ,"to jump in, to leap in, to plunge into",JLPT JLPT_2
留まる,とまる,"to be fixed; to abide, to stay (in the one place)",JLPT JLPT_2
ともかく,ともかく,"anyhow, at any rate, anyway",JLPT JLPT_2
捕える,とらえる,"to seize, to capture, to arrest",JLPT JLPT_2
取り入れる,とりいれる,"to harvest, to take in, to adopt",JLPT JLPT_2
取り消す,とりけす,to cancel,JLPT JLPT_2
取り出す,とりだす,"to take out, to pick out",JLPT JLPT_2
採る,とる,"to adopt (measure, proposal); to pick (fruit)",JLPT JLPT_2
捕る,とる,"to take, to catch (fish)",JLPT JLPT_2
丼,どんぶり,"porcelain bowl, bowl of rice with food on top",JLPT JLPT_2
～内,～ない,inside ~,JLPT JLPT_2
内科,ないか,"internist clinic, internal medicine",JLPT JLPT_2
内線,ないせん,phone extension,JLPT JLPT_2
ナイロン,ナイロン,nylon,JLPT JLPT_2
長～,なが～,long ~,JLPT JLPT_2
仲直り,なかなおり,"reconciliation, make peace with",JLPT JLPT_2
長引く,ながびく,"to be prolonged, to drag on",JLPT JLPT_2
中指,なかゆび,middle finger,JLPT JLPT_2
仲良し,なかよし,"intimate friend, bosom buddy",JLPT JLPT_2
慰める,なぐさめる,"to comfort, to console",JLPT JLPT_2
為す,なす,"to accomplish, to do",JLPT JLPT_2
謎謎,なぞなぞ,riddle,JLPT JLPT_2
傾らか,なだらか,"gradual, gentle",JLPT JLPT_2
懐かしい,なつかしい,"dear, desired, missed",JLPT JLPT_2
撫でる,なでる,"to brush gently, to stroke",JLPT JLPT_2
斜め,ななめ,"diagonal, oblique",JLPT JLPT_2
なにしろ,なにしろ,"at any rate, in any case",JLPT JLPT_2
何々,なになに,"such and such, What?",JLPT JLPT_2
何分,なにぶん,"by all means, please",JLPT JLPT_2
生意気,なまいき,"impertinent, impudent",JLPT JLPT_2
並木,なみき,"roadside tree, row of trees",JLPT JLPT_2
倣う,ならう,"to imitate, to follow, to emulate",JLPT JLPT_2
南極,なんきょく,"south pole, Antarctic",JLPT JLPT_2
なんとなく,なんとなく,"somehow or other, for some reason or another",JLPT JLPT_2
なんとも,なんとも,"nothing (with neg. verb), quite, not a bit",JLPT JLPT_2
ナンバー,ナンバー,number,JLPT JLPT_2
南米,なんべい,South America,JLPT_2 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese
南北,なんぼく,south and north,JLPT JLPT_2
匂う,におう,"to be fragrant, to smell",JLPT JLPT_2
逃がす,にがす,"to let loose, to set free, to let escape",JLPT JLPT_2
憎い,にくい,"hateful, abominable, detestable",JLPT JLPT_2
～難い,～がたい,hard (difficult) to do ~,JLPT_1 JLPT JLPT_2
憎む,にくむ,"to hate, to detest",JLPT JLPT_2
憎らしい,にくらしい,"odious, hateful",JLPT JLPT_2
にこにこ,にこにこ,"smile sweetly, smiley",JLPT JLPT_2
濁る,にごる,"to become muddy, to get cloudy",JLPT JLPT_2
虹,にじ,rainbow,JLPT JLPT_2
日時,にちじ,date and time,JLPT JLPT_2
日用品,にちようひん,daily necessities,JLPT JLPT_2
日課,にっか,"daily work, daily routine",JLPT JLPT_2
日程,にってい,schedule,JLPT JLPT_2
鈍い,にぶい,"dull (e.g., a knife), thickheaded, slow (opposite of fast), stupid",JLPT JLPT_2
入社,にゅうしゃ,entry to a company,JLPT JLPT_2
女房,にょうぼう,wife,JLPT JLPT_2
睨む,にらむ,"to glare at, to stare; to keep an eye on",JLPT JLPT_2
俄,にわか,"sudden, abrupt, unexpected",JLPT JLPT_2
縫う,ぬう,to sew,JLPT JLPT_2
ねじ,ねじ,(a) screw,JLPT JLPT_2
捩る,ねじる,to twist,JLPT JLPT_2
ネックレス,ネックレス,necklace,JLPT JLPT_2
熱する,ねっする,to heat,JLPT JLPT_2
寝間着,ねまき,"sleep-wear, pajamas",JLPT JLPT_2
寝巻,ねまき,"sleep-wear, pajamas",JLPT JLPT_2
狙い,ねらい,aim,JLPT JLPT_2
狙う,ねらう,to aim at,JLPT JLPT_2
～年生,～ねんせい,counter for school year,JLPT JLPT_2
年度,ねんど,"year, fiscal year",JLPT JLPT_2
農産物,のうさんぶつ,agricultural produce,JLPT JLPT_2
農村,のうそん,agricultural community,JLPT JLPT_2
濃度,のうど,"concentration, density",JLPT JLPT_2
農薬,のうやく,agricultural chemicals,JLPT JLPT_2
能率,のうりつ,efficiency,JLPT JLPT_2
のこぎり,のこぎり,saw,JLPT JLPT_2
残らず,のこらず,"completely, without exception",JLPT JLPT_2
上り,のぼり,"up-train (going to Tokyo), ascent",JLPT JLPT_2
糊,のり,"glue, paste, starch",JLPT JLPT_2
乗換,のりかえ,"a transfer (e.g., trains, buses)",JLPT JLPT_2
乗り越し,のりこし,riding past (one's station),JLPT JLPT_2
鈍い,のろい,"dull (e.g., a knife), slow (opposite of fast), stupid",JLPT JLPT_2
のろのろ,のろのろ,"slowly, sluggishly",JLPT JLPT_2
呑気,のんき,"carefree, optimistic, careless",JLPT JLPT_2
はい (かん),はい (かん),yes,JLPT JLPT_2
灰色,はいいろ,"grey, ashen",JLPT JLPT_2
俳句,はいく,haiku poetry,JLPT JLPT_2
売店,ばいてん,"shop, stand",JLPT JLPT_2
バイバイ,バイバイ,bye bye,JLPT JLPT_2
売買,ばいばい,"trade, buying and selling",JLPT JLPT_2
這う,はう,"to creep, to crawl",JLPT JLPT_2
剥す,はがす,"to tear off, to peel off, to rip off",JLPT JLPT_2
ばからしい,ばからしい,absurd,JLPT JLPT_2
秤,はかり,"scales, weighing machine",JLPT JLPT_2
吐き気,はきけ,"nausea, sickness in the stomach",JLPT JLPT_2
はきはき,はきはき,clearly,JLPT JLPT_2
～泊,～はく,"counter for staying (e.g., 2 nights)",JLPT JLPT_2
歯車,はぐるま,"gear, cog-wheel",JLPT JLPT_2
バケツ,バケツ,"bucket, pail",JLPT JLPT_2
挟まる,はさまる,"to get between, to be caught in",JLPT JLPT_2
挟む,はさむ,to pinch; to hold between; to insert,JLPT JLPT_2
梯子,はしご,"ladder, stairs",JLPT JLPT_2
始めに,はじめに,"to begin with, first of all",JLPT JLPT_2
初めに,はじめに,"to begin with, first of all",JLPT JLPT_2
はじめまして,はじめまして,"How do you do, I am glad to meet you",JLPT JLPT_2
斜,はす,diagonal,JLPT JLPT_2
パターン,パターン,pattern,JLPT JLPT_2
肌着,はだぎ,underwear,JLPT JLPT_2
果して,はたして,"as was expected, really",JLPT JLPT_2
鉢,はち,"a bowl, a pot",JLPT JLPT_2
～発,～はつ,counter for bullets,JLPT JLPT_2
×,ばつ,cross,JLPT JLPT_2
発揮,はっき,"exhibition, demonstration, display",JLPT JLPT_2
バック,バック,back,JLPT JLPT_2
発想,はっそう,idea; way of thinking (same as 考え方 (かんがえかた)),JLPT_2 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese
発電,はつでん,"generation (e.g., power)",JLPT JLPT_2
発売,はつばい,sale,JLPT JLPT_2
話合い,はなしあい,"discussion, talk",JLPT JLPT_2
話し掛ける,はなしかける,"to accost a person, to talk (to someone)",JLPT JLPT_2
話中,はなしちゅう,"while talking, the line is busy",JLPT JLPT_2
甚だしい,はなはだしい,"extreme, excessive, terrible",JLPT JLPT_2
花火,はなび,fireworks,JLPT JLPT_2
花嫁,はなよめ,bride,JLPT JLPT_2
ばね,ばね,"spring (e.g., coil, leaf)",JLPT JLPT_2
跳ねる,はねる,"to jump, to leap",JLPT JLPT_2
破片,はへん,"fragment, broken piece",JLPT JLPT_2
歯磨き,はみがき,"toothbrushing, toothpaste",JLPT JLPT_2
はめる,はめる,"(col) to get in, to insert, to put on",JLPT JLPT_2
早口,はやくち,fast-talking,JLPT JLPT_2
払い込む,はらいこむ,"to deposit, to pay in",JLPT JLPT_2
払い戻す,はらいもどす,"to repay, to pay back",JLPT JLPT_2
針金,はりがね,wire,JLPT JLPT_2
張り切る,はりきる,"to be in high spirits, to be full of vigor",JLPT JLPT_2
反～,はん～,"anti ~, counter ~",JLPT JLPT_2
反映,はんえい,"reflection, influence",JLPT JLPT_2
半径,はんけい,radius,JLPT JLPT_2
判子,はんこ,seal (used for signature),JLPT JLPT_2
万歳,ばんざい,"banzai, Long live ~!",JLPT JLPT_2
判事,はんじ,"judge, justice",JLPT JLPT_2
番地,ばんち,"house number, address",JLPT JLPT_2
パンツ,パンツ,underpants,JLPT_2 JLPT Genki_Ln.10 Genki
バンド,バンド,band,JLPT JLPT_2
半島,はんとう,peninsula,JLPT JLPT_2
ハンドル,ハンドル,"handle, steering wheel",JLPT JLPT_2
～番目,～ばんめ,~th,JLPT JLPT_2
非～,ひ～,"anti~, counter~, an~, non~",JLPT_1 JLPT JLPT_2
～費,～ひ,cost of ~,JLPT JLPT_2
日当たり,ひあたり,"exposure to the sun, sunny place",JLPT JLPT_2
日帰り,ひがえり,day trip,JLPT JLPT_2
比較的,ひかくてき,comparatively; relatively,Intermediate_Japanese_Ln.5 JLPT JLPT_2 Intermediate_Japanese
日陰,ひかげ,shadow,JLPT JLPT_2
ぴかぴか,ぴかぴか,"glitter, sparkle",JLPT JLPT_2
引受る,ひきうける,"to undertake, to take up, to take over",JLPT JLPT_2
引き返す,ひきかえす,"to turn back, to go back, reverse",JLPT JLPT_2
引算,ひきざん,subtraction,JLPT JLPT_2
引き出す,ひきだす,"to pull out, to take out, to withdraw",JLPT JLPT_2
引き止める,ひきとめる,"to keep back, to prevent, to hold back",JLPT JLPT_2
卑怯,ひきょう,"cowardice, meanness, unfairness",JLPT JLPT_2
引分け,ひきわけ,"a draw (in competition), tie game",JLPT JLPT_2
陽射,ひざし,"sunlight, rays of the sun",JLPT JLPT_2
肘,ひじ,elbow,JLPT JLPT_2
ピストル,ピストル,pistol,JLPT JLPT_2
ビタミン,ビタミン,vitamin,JLPT JLPT_2
ぴたり,ぴたり,exactly; close-fitting,JLPT JLPT_2
引っ掛かる,ひっかかる,"to be caught in, to be stuck in",JLPT JLPT_2
筆記,ひっき,"note taking, writing",JLPT JLPT_2
引っ繰り返す,ひっくりかえす,"to turn over, to overturn, to knock over",JLPT JLPT_2
引っ繰り返る,ひっくりかえる,"to be overturned, to be upset, to topple over, to be reversed",JLPT JLPT_2
引っ込む,ひっこむ,"to draw back, to sink, to cave in",JLPT JLPT_2
筆者,ひっしゃ,"writer, author",JLPT JLPT_2
必需品,ひつじゅひん,"necessities, essential",JLPT JLPT_2
一～,ひと～,one ~,JLPT JLPT_2
人差指,ひとさしゆび,index finger,JLPT JLPT_2
一通り,ひととおり,"general, briefly",JLPT JLPT_2
人通り,ひとどおり,pedestrian traffic,JLPT JLPT_2
ひとまず,ひとまず,"for the present, once, for the time being",JLPT JLPT_2
瞳,ひとみ,pupil (of eye),JLPT JLPT_2
一休み,ひとやすみ,a rest,JLPT JLPT_2
独り言,ひとりごと,"a soliloquy, a monologue, speaking to oneself",JLPT JLPT_2
ひとりでに,ひとりでに,"by itself, automatically, naturally",JLPT JLPT_2
ビニール,ビニール,vinyl,JLPT JLPT_2
皮肉,ひにく,"cynicism, sarcasm",JLPT JLPT_2
日日,ひにち,date,JLPT JLPT_2
捻る,ひねる,"to twist, to turn",JLPT JLPT_2
日の入り,ひのいり,sunset,JLPT JLPT_2
日の出,ひので,sunrise,JLPT JLPT_2
響き,ひびき,"echo, sound",JLPT JLPT_2
響く,ひびく,to resound; to affect,JLPT JLPT_2
皮膚,ひふ,skin,JLPT JLPT_2
ひゃっかじてん,ひゃっかじてん,encyclopedia,JLPT JLPT_2
美容,びよう,beauty of figure or form,JLPT JLPT_2
～病,～びょう,kind of disease,JLPT JLPT_2
表紙,ひょうし,"front cover, binding",JLPT JLPT_2
標識,ひょうしき,"sign, mark",JLPT JLPT_2
標準,ひょうじゅん,"standard, level",JLPT JLPT_2
標本,ひょうほん,"example, specimen",JLPT JLPT_2
評論,ひょうろん,"criticism, critique",JLPT JLPT_2
ビルディング,ビルディング,building,JLPT JLPT_2
昼寝,ひるね,"nap (at home), siesta",JLPT JLPT_2
広さ,ひろさ,extent,JLPT JLPT_2
広場,ひろば,plaza,JLPT JLPT_2
広々,ひろびろ,"extensive, spacious",JLPT JLPT_2
ピンク,ピンク,pink,JLPT JLPT_2
便箋,びんせん,"writing paper, stationery",JLPT JLPT_2
瓶詰,びんづめ,"bottling, bottled",JLPT JLPT_2
～部,～ぶ,~ part,JLPT JLPT_2
ファスナー,ファスナー,"fastener, zipper",JLPT JLPT_2
～風,～ふう,~ style,JLPT JLPT_2
風船,ふうせん,balloon,JLPT JLPT_2
不運,ふうん,"unlucky, misfortune, bad luck",JLPT JLPT_2
不規則,ふきそく,"irregularity, unsteadiness",JLPT JLPT_2
普及,ふきゅう,"diffusion, spread",JLPT JLPT_2
付近,ふきん,"neighborhood, vicinity",JLPT JLPT_2
副～,ふく～,vice ~,JLPT JLPT_2
副詞,ふくし,adverb,JLPT JLPT_2
複写,ふくしゃ,"copy, duplicate",JLPT JLPT_2
複数,ふくすう,"plural, multiple",JLPT JLPT_2
膨らます,ふくらます,"to swell, to expand, to inflate",JLPT JLPT_2
膨らむ,ふくらむ,"to expand, to swell (out), to become inflated",JLPT JLPT_2
不潔,ふけつ,"unclean, dirty",JLPT JLPT_2
更ける,ふける,"to get late, to wear on",JLPT JLPT_2
符号,ふごう,"sign, mark, symbol",JLPT JLPT_2
夫妻,ふさい,"man and wife, married couple",JLPT JLPT_2
塞がる,ふさがる,"to be plugged up, to be shut up",JLPT JLPT_2
塞ぐ,ふさぐ,"to stuff, to close up, to block (up)",JLPT JLPT_2
ふざける,ふざける,"to romp, to gambol, to frolic",JLPT JLPT_2
無沙汰,ぶさた,neglecting to stay in contact,JLPT JLPT_2
武士,ぶし,"warrior, samurai",JLPT JLPT_2
部首,ぶしゅ,radical (of a kanji character),JLPT JLPT_2
襖,ふすま,sliding screen,JLPT JLPT_2
附属,ふぞく,"attached, belonging, affiliated",JLPT JLPT_2
蓋,ふた,"cover, lid, cap",JLPT JLPT_2
物騒,ぶっそう,"dangerous, disturbed, insecure",JLPT JLPT_2
ぶつぶつ,ぶつぶつ,"grumbling, complaining in a small voice",JLPT JLPT_2
船便,ふなびん,surface mail (ship),JLPT JLPT_2
部品,ぶひん,"parts, accessories",JLPT JLPT_2
吹雪,ふぶき,snow storm,JLPT JLPT_2
父母,ふぼ,"father and mother, parents",JLPT JLPT_2
踏切,ふみきり,"railway crossing, level crossing, starting line, scratch, crossover",JLPT JLPT_2
麓,ふもと,"the foot, the bottom, the base (of a mountain)",JLPT JLPT_2
フライパン,フライパン,"fry pan, frying pan",JLPT JLPT_2
ブラウス,ブラウス,blouse,JLPT JLPT_2
ぶらさげる,ぶらさげる,"to hang, to suspend, to swing",JLPT JLPT_2
ブラシ,ブラシ,brush,JLPT JLPT_2
プラットホーム,プラットホーム,platform,JLPT JLPT_2
～振り,～ぶり,after an interval of ~,JLPT JLPT_2
フリー,フリー,free,JLPT JLPT_2
振り仮名,ふりがな,pronunciation key,JLPT JLPT_2
振り向く,ふりむく,"to turn one's face, to turn around",JLPT JLPT_2
プリント,プリント,"print, handout",JLPT JLPT_2
古～,ふる～,old ~,JLPT JLPT_2
故郷,ふるさと,"home town, birthplace",JLPT JLPT_2
古里,ふるさと,"home town, birthplace",JLPT JLPT_2
振舞う,ふるまう,"to behave, to conduct",JLPT JLPT_2
ブローチ,ブローチ,brooch,JLPT JLPT_2
プログラム,プログラム,program,JLPT JLPT_2
風呂敷,ふろしき,"wrapping cloth, cloth wrapper",JLPT JLPT_2
ふわふわ,ふわふわ,"light, soft",JLPT JLPT_2
噴火,ふんか,eruption,JLPT JLPT_2
分解,ぶんかい,"analysis, disassembly",JLPT JLPT_2
文芸,ぶんげい,"literature, art and literature",JLPT JLPT_2
文献,ぶんけん,"literature, books (reference)",JLPT JLPT_2
噴水,ふんすい,water fountain,JLPT JLPT_2
分数,ぶんすう,fraction (in math),JLPT JLPT_2
文体,ぶんたい,literary style,JLPT JLPT_2
分布,ぶんぷ,distribution,JLPT JLPT_2
文房具,ぶんぼうぐ,stationery,JLPT JLPT_2
文脈,ぶんみゃく,context,JLPT JLPT_2
分量,ぶんりょう,"amount, quantity",JLPT JLPT_2
分類,ぶんるい,classification,JLPT JLPT_2
閉会,へいかい,closure,JLPT JLPT_2
平気,へいき,"coolness, calmness, unconcern",JLPT JLPT_2
並行,へいこう,"(going) side by side, concurrent, at the same time",JLPT_1 JLPT JLPT_2
平日,へいじつ,weekday,JLPT JLPT_2
兵隊,へいたい,soldier,JLPT JLPT_2
平凡,へいぼん,"common, ordinary",JLPT JLPT_2
平野,へいや,"plain, open field",JLPT JLPT_2
凹む,へこむ,"to be dented, to be indented",JLPT JLPT_2
へそ,へそ,"navel, belly-button",JLPT JLPT_2
隔てる,へだてる,to be shut out,JLPT JLPT_2
別荘,べっそう,villa; vacation home; summer cottage,JLPT Intermediate_Japanese Genki_Ln.23 JLPT_2 Intermediate_Japanese_Ln.13 Genki
別々,べつべつ,"separately, individually",JLPT JLPT_2
ベテラン,ベテラン,veteran,JLPT JLPT_2
ヘリコプター,ヘリコプター,helicopter,JLPT JLPT_2
～遍,～へん,time,JLPT JLPT_2
～弁,～べん,"speech, dialect",JLPT JLPT_2
編集,へんしゅう,"editing, compilation, editorial (e.g., committee)",JLPT JLPT_2 Intermediate_Japanese_Ln.8 Intermediate_Japanese
便所,べんじょ,"toilet, lavatory",JLPT JLPT_2
